cik,company_name,fis_yr,filling_date,complexity,ex13,10k_url,ex13_url
200406,JOHNSON & JOHNSON,2018,20190220,0.294117647,0,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/form10-k20181230.htm,
833444,Johnson Controls International plc,2018,20181120,0.310160428,0,https://www.sec.gov/Archives/edgar/data/833444/000083344418000053/jciplc201810-k.htm,
19617,JPMORGAN CHASE & CO,2018,20190226,0.403743316,0,https://www.sec.gov/Archives/edgar/data/19617/000001961719000054/corp10k2018.htm,
55067,KELLOGG CO,2018,20190225,0.310160428,0,https://www.sec.gov/Archives/edgar/data/55067/000162828019001864/k-2018q410xk.htm,
91576,KEYCORP /NEW/,2018,20190225,0.326203209,0,https://www.sec.gov/Archives/edgar/data/91576/000009157619000009/key-123118x10k.htm,
55785,KIMBERLY CLARK CORP,2018,20190207,0.187165775,0,https://www.sec.gov/Archives/edgar/data/55785/000005578519000013/kmb_2018xformx10k.htm,
319201,KLA TENCOR CORP,2018,20180806,0.307486631,0,https://www.sec.gov/Archives/edgar/data/319201/000031920118000045/klac10k2018.htm,
56873,KROGER CO,2018,20180403,0.256684492,0,https://www.sec.gov/Archives/edgar/data/56873/000155837018002753/kr-20180203x10k.htm,
701985,"L Brands, Inc.",2018,20180323,0.264705882,0,https://www.sec.gov/Archives/edgar/data/701985/000070198518000018/lb23201810k.htm,
58492,LEGGETT & PLATT INC,2018,20190227,0.270053476,0,https://www.sec.gov/Archives/edgar/data/58492/000005849219000004/leg201810k.htm,
59478,LILLY ELI & CO,2018,20190219,0.299465241,0,https://www.sec.gov/Archives/edgar/data/59478/000005947819000082/lly-20181231x10xk.htm,
59558,LINCOLN NATIONAL CORP,2018,20190220,0.336898396,0,https://www.sec.gov/Archives/edgar/data/59558/000005955819000010/lnc-20181231x10k.htm,
936468,LOCKHEED MARTIN CORP,2018,20190208,0.280748663,0,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/lmtq4201810k.htm,
60086,LOEWS CORP,2018,20190213,0.318181818,0,https://www.sec.gov/Archives/edgar/data/60086/000119312519037854/d685868d10k.htm,
60667,LOWES COMPANIES INC,2018,20180402,0.235294118,0,https://www.sec.gov/Archives/edgar/data/60667/000006066718000051/form10k_02022018.htm,
101778,MARATHON OIL CORP,2018,20190221,0.259358289,0,https://www.sec.gov/Archives/edgar/data/101778/000010177819000022/mro-20181231x10kq42018.htm,
1048286,MARRIOTT INTERNATIONAL INC /MD/,2018,20190301,0.272727273,0,https://www.sec.gov/Archives/edgar/data/1048286/000162828019002337/mar-q42018x10k.htm,
62709,"MARSH & MCLENNAN COMPANIES, INC.",2018,20190221,0.312834225,0,https://www.sec.gov/Archives/edgar/data/62709/000006270919000010/mmc1231201810k.htm,
62996,MASCO CORP /DE/,2018,20190207,0.20855615,0,https://www.sec.gov/Archives/edgar/data/62996/000006299619000011/mas_20181231x10k.htm,
63908,MCDONALDS CORP,2018,20190222,0.286096257,0,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/mcd-12312018x10k.htm,
927653,MCKESSON CORP,2018,20180524,0.320855615,0,https://www.sec.gov/Archives/edgar/data/927653/000092765318000010/mck_10kx3312018.htm,
1613103,Medtronic plc,2018,20180622,0.299465241,0,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/mdt-2018427x10k.htm,
